x,y
1103.94,3456.08
1104.7,1625.44
1105.48,1617.81
1105.64,1624.93
1105.67,1617.99
1107.52,1024.87
1109.81,1621.8
1111.1,3318.69
1112.56,1029.01
1112.62,1652.86
1113.57,1475.49
1113.61,1624.66
1113.65,1618.84
1113.9,3694.01
1116.13,1734.77
1116.27,2877.5
1116.68,1616.21
1118.18,3406.49
1119.07,1630.63
1123.02,1631.86
1123.31,2726.13
1123.65,1892.7
1125.18,1265.74
1127.52,2011.47
1128.08,1637.34
1128.41,3452.83
1128.72,1261.85
1129.22,1040.83
1130.41,3639.72
1131.24,2018.99
1131.56,1259.22
1131.63,1641.56
1131.83,2011.46
1132.32,3305.09
1132.48,3342.71
1135.76,2119.76
1137.17,3317.43
1138.0,3655.33
1140.18,2196.97
1140.63,2190.82
1141.04,2193.25
1142.61,2200.38
1142.99,2272.88
1143.19,1650.37
1143.22,2262.74
1146.45,2338.7
1147.68,3688.31
1148.4,3296.91
1150.72,2417.31
1156.68,1575.98
1157.72,2518.59
1159.57,1430.31
1160.22,116.37
1160.24,3622.98
1161.56,2521.39
1164.92,2514.68
1165.38,2529.84
1165.53,2524.36
1165.68,2518.96
1166.13,2534.12
1166.36,3492.89
1169.58,2527.53
1169.71,2545.68
1170.05,2552.96
1170.67,2552.39
1171.01,2226.25
1173.34,2530.25
1176.37,544.86
1177.13,210.59
1179.98,3617.48
1181.35,1551.42
1182.73,859.23
1183.0,3273.09
1184.97,1549.09
1185.22,2535.9
1187.07,2536.74
1188.73,1546.64
1189.41,2539.52
1189.5,2540.5
1194.96,516.43
1203.91,3531.83
1204.41,3258.86
1205.25,3627.63
1205.96,1717.99
1206.71,1697.9
1206.98,1146.88
1208.0,3557.7
1208.69,1145.8
1209.73,2649.87
1210.06,2637.8
1211.37,1700.92
1211.75,2647.88
1212.56,1142.48
1212.59,2641.25
1212.9,645.72
1214.62,2646.46
1215.27,613.07
1216.26,2649.26
1216.45,1703.79
1218.36,2651.45
1218.68,2644.16
1220.07,1118.28
1220.43,2642.46
1221.65,1129.38
1223.21,1127.17
1226.35,3608.06
1226.51,1125.16
1227.2,1366.64
1227.69,3280.68
1228.84,1128.51
1230.96,1130.31
1232.74,1118.09
1234.3,3562.74
1234.82,3243.24
1241.4,649.83
1241.87,3225.49
1246.68,3527.77
1248.79,3634.27
1252.52,380.49
1254.62,3217.27
1256.28,139.34
1263.1,153.67
1266.84,1470.88
1267.17,722.42
1268.68,474.96
1268.75,2585.65
1270.17,726.66
1270.57,2596.68
1271.63,1325.75
1272.18,1465.72
1273.2,2594.07
1274.22,2590.43
1275.7,3204.54
1276.58,1462.8
1277.44,2591.76
1278.11,3230.25
1279.16,2589.93
1279.86,3607.79
1280.48,2594.25
1283.35,2587.32
1283.54,742.73
1283.6,2595.83
1284.11,458.51
1284.31,445.2
1285.9,740.77
1286.07,3676.1
